method,seed,clean_fidelity,robustness_index
vanilla,0,0.9903928220497226,0.9478711959766134
vanilla,1,0.9903926818361857,0.9767719974089228
vanilla,2,0.9999999657714581,0.9823203811914143
vanilla,3,0.9999999657714581,0.9845636772786188
vanilla,4,0.999999956185526,0.9647304857020857
vanilla,0,0.9903928220497226,0.9504241289043449
vanilla,1,0.9903926818361857,0.975864097179435
vanilla,2,0.9999999657714581,0.9831758024024623
vanilla,3,0.9999999657714581,0.9824768722603061
vanilla,4,0.999999956185526,0.966211468173039
robust,0,0.999999958251083,0.9815747130211419
robust,1,0.9999999146830163,0.9765420765238537
robust,2,0.9903925979483862,0.9750381641688877
robust,3,0.9999999657714581,0.9807001040720336
robust,4,0.999999958251083,0.9733115705951871
robust,,0.999999958251083,0.9840721174735111
robust,0,0.999999958251083,0.9854800814545392
robust,1,0.9999999146830163,0.976511685603006
robust,2,0.9903925979483862,0.9753412844741677
robust,3,0.9999999657714581,0.9816369780597535
robust,4,0.999999958251083,0.9767499652554428
robust,0,0.999999958251083,0.9829061092448241
robust,1,0.9999999146830163,0.977013392143554
robust,2,0.9903925979483862,0.9772331449194603
robust,3,0.9999999657714581,0.9818370065978534
robust,4,0.999999958251083,0.9751612122301905
quantumnas,0,0.9999999657714581,0.942781588900546
quantumnas,1,1.0000000500651554,0.9568306264128599
quantumnas,2,0.9999826013455503,0.9477299076232267
quantumnas,3,1.000000134358856,0.9473766280106065
quantumnas,4,0.9999997971840743,0.9561454683743932
quantumnas,,0.9999999657714581,0.9479955715046431
quantumnas,0,0.9999999657714581,0.9427553658827456
quantumnas,1,1.0000000500651554,0.961112006412309
quantumnas,2,0.9999826013455503,0.9488221638145642
quantumnas,3,1.000000134358856,0.946199497436079
quantumnas,4,0.9999997971840743,0.9596922267172856
quantumnas,0,0.9999999657714581,0.937301724402505
quantumnas,1,1.0000000500651554,0.9620681966487789
quantumnas,2,0.9999826013455503,0.9468184482708
quantumnas,3,1.000000134358856,0.9450255552439575
quantumnas,4,0.9999997971840743,0.9599336456010249
clean_best,0,0.585719518647921,0.974114560928198
clean_best,1,0.5934353559633362,0.9628117463571819
clean_best,2,0.6702746960754283,0.9627988517987816
clean_best,3,0.6063038077345004,0.9907923262762566
clean_best,4,0.6233780369316211,0.9789681024035282
robust_final,0,0.999999958251083,0.9830597388261626
robust_final,1,0.9999999146830163,0.9757256585961949
robust_final,2,0.9903925979483862,0.9732227241830061
robust_final,3,0.9999999657714581,0.9805174917323363
robust_final,4,0.999999958251083,0.9763091858621283
